Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
163796:1753,176,3227609.9428,[1-176],3165883.7517
163817:1755,753,13369001.8358,"[50-140], [154-205], [216-295], [305-346], [358-457], [561-603], [618-962]",13039898.0058
163869:1756,42,737079.680594,[79-120],715691.24879
165088:1782,159,2056.10779487,[107-265],2055.88084256
165098:1783,285,27930.6834467,"[124-187], [190-193], [195-248], [250-254], [256-331], [333-367], [369-415]",27386.7316951
165099:1783,105,8880.66747117,[1-105],8877.05553751
165102:1783,185,16226.7232425,[1-185],16222.0932945
165103:1783,440,46229.3363643,[1-440],46215.7568637
165120:1785,16,79530.6579502,[82-97],78680.8423201
165121:1785,466,2076653.52905,[1-466],2047207.38263
165205:1787,169,876909.158443,[80-248],863404.035369
165208:1787,101,492640.796033,[1-101],477113.806579
165364:1795,1199,17111902.4762,"[45-111], [114-147], [160-807], [809-1220], [1260-1297]",16696536.0303
165402:1796,27,469871.760684,[1-27],432142.282343
165415:1798,1313,19803144.3408,"[58-85], [88-640], [643-707], [712-777], [780-1356], [1360-1383]",19341336.9075
165467:1799,670,12290706.4372,[39-708],11695409.2819
165472:1799,881,13212226.9515,"[1-184], [186-882]",12855221.7519
165486:1800,66,1482099.54822,[37-102],1413597.92149
165487:1800,145,3105339.17045,[1-145],2991633.92169
165506:1801,114,2087411.11903,[54-167],1975366.30353
165514:1802,476,11384858.7872,"[72-244], [246-270], [283-560]",10774162.6942
165548:1803,586,8878461.83894,"[1-363], [365-381], [384-589]",8646338.73925
165558:1803,62,870910.065816,[1-62],814556.81368
165567:1804,569,12714835.9158,"[54-109], [114-309], [315-631]",12315293.6934
165570:1804,932,17145527.5863,"[1-2], [5-83], [88-207], [209-351], [355-942]",16660315.0649
165617:1805,260,6470126.46552,"[26-52], [54-143], [145-287]",6153179.52297
